#SampleID	Source	Type
#q2:types	categorical	categorical
MCP1a	Malbaie	Captive
MCP1b	Malbaie	Captive
MCP1c	Malbaie	Captive
MCP2a	Malbaie	Captive
MCP2b	Malbaie	Captive
MCP2c	Malbaie	Captive
MCP3a	Malbaie	Captive
MCP3b	Malbaie	Captive
MCP3c	Malbaie	Captive
MCP4a	Malbaie	Captive
MCP4b	Malbaie	Captive
MCP4c	Malbaie	Captive
MCP5a	Malbaie	Captive
MCP5b	Malbaie	Captive
MCP5c	Malbaie	Captive
MCP7a	Malbaie	Captive
MCP7b	Malbaie	Captive
MCP7c	Malbaie	Captive
MCP8a	Malbaie	Captive
MCP8b	Malbaie	Captive
MCP8c	Malbaie	Captive
MCP9a	Malbaie	Captive
MCP9b	Malbaie	Captive
MCP9c	Malbaie	Captive
MWP13a	Malbaie	Wild
MWP13b	Malbaie	Wild
MWP13c	Malbaie	Wild
MWP18a	Malbaie	Wild
MWP18b	Malbaie	Wild
MWP18c	Malbaie	Wild
MWP19a	Malbaie	Wild
MWP19b	Malbaie	Wild
MWP19c	Malbaie	Wild
MWP5a	Malbaie	Wild
MWP5b	Malbaie	Wild
MWP5c	Malbaie	Wild
MWP6a	Malbaie	Wild
MWP6b	Malbaie	Wild
MWP6c	Malbaie	Wild
MWP8a	Malbaie	Wild
MWP8b	Malbaie	Wild
MWP8c	Malbaie	Wild
RCP10a	Rimouski 	Captive
RCP10b	Rimouski 	Captive
RCP10c	Rimouski 	Captive
RCP1a	Rimouski 	Captive
RCP1b	Rimouski 	Captive
RCP1c	Rimouski 	Captive
RCP2a	Rimouski 	Captive
RCP2b	Rimouski 	Captive
RCP2c	Rimouski 	Captive
RCP4a	Rimouski 	Captive
RCP4b	Rimouski 	Captive
RCP4c	Rimouski 	Captive
RCP5a	Rimouski 	Captive
RCP5b	Rimouski 	Captive
RCP5c	Rimouski 	Captive
RCP6a	Rimouski 	Captive
RCP6b	Rimouski 	Captive
RCP6c	Rimouski 	Captive
RCP7a	Rimouski 	Captive
RCP7b	Rimouski 	Captive
RCP7c	Rimouski 	Captive
RCP8a	Rimouski 	Captive
RCP8b	Rimouski 	Captive
RCP8c	Rimouski 	Captive
RWP10a	Rimouski 	Wild
RWP10b	Rimouski 	Wild
RWP10c	Rimouski 	Wild
RWP15a	Rimouski 	Wild
RWP15b	Rimouski 	Wild
RWP15c	Rimouski 	Wild
RWP17a	Rimouski 	Wild
RWP17b	Rimouski 	Wild
RWP17c	Rimouski 	Wild
RWP6a	Rimouski 	Wild
RWP6b	Rimouski 	Wild
RWP6c	Rimouski 	Wild
RWP9a	Rimouski 	Wild
RWP9b	Rimouski 	Wild
RWP9c	Rimouski 	Wild
